VenueName,City,State,Capacity
State Farm Arena,Atlanta,Georgia,17044
TD Garden,Boston,Massachusetts,19580
Barclays Center,Brooklyn,New York,17732
Spectrum Center,Charlotte,North Carolina,19077
United Center,Chicago,Illinois,20917
Rocket Arena,Cleveland,Ohio,19432
American Airlines Center,Dallas,Texas,19200
Ball Arena,Denver,Colorado,19520
Little Caesers arena,Detroit,Michigan,20332
Chase Center,San Francisco,California,18064
Toyota Center,Houston,Texas,18055
Gainbridge Fieldhouse,Indianapolis,Indiana,17932
Intuit Dome,Inglewood,California,18000
Crypto.com Arena,Los Angeles,California,18997
FedExForum,Memphis,Tennessee,17794
Kaseya Center,Miami,Florida,19600
Fiserv Forum,Milwaukee,Wisconsin,17500
Target Center,Minneapolis,Minnesota,18978
Smoothie King Center,New Orleans,Louisiana,16867
Madison Square Garden,New York,New York,19812
Paycom Center,Oklahoma City,Oklahoma,18203
Kia Center,Orlando,Florida,18864
Xfinity Mobile Arena,Philadelphia,Pennsylvania,20478
Mortgage Matchup Center,Phoenix,Arizona,17071
Moda Center,Portland,Oregon,19441
Golden 1 Center,Sacramento,California,17583
Frost Bank Center,San Antonio,Texas,18418
Scotiabank Arena,Toronto,Ontario,19800
Delta Center,Salt Lake City,Utah,18306
Capital One Arena,Washington,DC,20356